Unnamed: 0,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,INTERSECTION_RELATED_I,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,MOST_SEVERE_INJURY,CRASH_HOUR,CRASH_MONTH,LATITUDE,LONGITUDE,CRASH_YEAR,SPEED_LIMIT,geometry,DISPLAYROU,the_geom,DIST,LANE_TYPE,CRASH_DATE,is_severe,index_right,CArea
8379,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,UNABLE TO DETERMINE,NOT APPLICABLE,,NO INDICATION OF INJURY,21,1,41.9314847047,-87.7467398263,2023,30,POINT (-87.7467398263 41.9314847047),,,,,2023-01-03,False,18,Belmont Cragin
8380,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,18,1,41.9731550358,-87.6596339394,2023,30,POINT (-87.6596339394 41.9731550358),,,,,2023-01-04,False,2,Uptown
8381,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,INCAPACITATING INJURY,20,1,41.8991654527,-87.7263440589,2023,30,POINT (-87.7263440589 41.8991654527),,,,,2023-01-04,True,22,Humboldt Park
8382,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,Y,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,21,1,41.8124012651,-87.6457785902,2023,30,POINT (-87.6457785902 41.8124012651),,,,,2023-01-04,False,60,New City
8383,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,Y,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NONINCAPACITATING INJURY,0,1,41.9357849297,-87.7088881443,2023,25,POINT (-87.7088881443 41.9357849297),,,,,2023-01-07,False,20,Avondale
8384,30,UNKNOWN,UNKNOWN,UNKNOWN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,"REPORTED, NOT EVIDENT",23,1,41.9006497816,-87.627416813,2023,30,POINT (-87.627416813 41.9006497816),,,,,2023-01-07,False,7,Near North Side
8385,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,UNABLE TO DETERMINE,NOT APPLICABLE,,NONINCAPACITATING INJURY,15,1,41.9733807841,-87.6578391389,2023,30,POINT (-87.6578391389 41.9733807841),,,,,2023-01-08,False,2,Uptown
8386,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,N,UNABLE TO DETERMINE,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",8,1,41.9238730951,-87.6991628536,2023,30,POINT (-87.6991628536 41.9238730951),,,,,2023-01-10,False,21,Logan Square
8387,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NONINCAPACITATING INJURY,13,1,41.8845826561,-87.6325080097,2023,30,POINT (-87.6325080097 41.8845826561),,,,,2023-01-10,False,31,Loop
8388,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,,NONINCAPACITATING INJURY,7,1,41.8867688223,-87.6841863825,2023,30,POINT (-87.6841863825 41.8867688223),,,,,2023-01-12,False,27,Near West Side
8389,25,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT ON GRADE,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,Y,NONINCAPACITATING INJURY,17,1,42.0149756917,-87.6751761987,2023,25,POINT (-87.6751761987 42.0149756917),,,,,2023-01-13,False,0,Rogers Park
8390,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,"CURVE, LEVEL",DRY,NO DEFECTS,,FOLLOWING TOO CLOSELY,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",13,1,41.8792431075,-87.6366277969,2023,30,POINT (-87.6366277969 41.8792431075),,,,,2023-01-15,False,27,Near West Side
8391,30,NO CONTROLS,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,,"REPORTED, NOT EVIDENT",14,1,41.953723263,-87.678887838,2023,30,POINT (-87.678887838 41.953723263),,,,,2023-01-15,False,4,North Center
8392,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,,IMPROPER LANE USAGE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,19,1,41.8958263727,-87.6258105835,2023,30,POINT (-87.6258105835 41.8958263727),,,,,2023-01-16,False,7,Near North Side
8393,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,Y,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,"REPORTED, NOT EVIDENT",17,1,41.8516605902,-87.7233522336,2023,30,POINT (-87.7233522336 41.8516605902),,,,,2023-01-17,False,28,North Lawndale
8394,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,UNABLE TO DETERMINE,NOT APPLICABLE,,NONINCAPACITATING INJURY,9,1,41.8804479088,-87.6418389753,2023,30,POINT (-87.6418389753 41.8804479088),,,,,2023-01-18,False,27,Near West Side
8395,30,UNKNOWN,UNKNOWN,CLEAR,DARKNESS,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,IMPROPER TURNING/NO SIGNAL,IMPROPER TURNING/NO SIGNAL,,NONINCAPACITATING INJURY,18,1,42.0153969107,-87.6749503452,2023,30,POINT (-87.6749503452 42.0153969107),,,,,2023-01-18,False,0,Rogers Park
8396,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,NONINCAPACITATING INJURY,22,1,41.9630404262,-87.7133476514,2023,30,POINT (-87.7133476514 41.9630404262),,,,,2023-01-18,False,13,Albany Park
8397,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,,INCAPACITATING INJURY,19,1,41.9168364877,-87.7462520454,2023,30,POINT (-87.7462520454 41.9168364877),,,,,2023-01-19,True,18,Belmont Cragin
8398,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NO INDICATION OF INJURY,19,1,41.9686080489,-87.7132236519,2023,15,POINT (-87.7132236519 41.9686080489),,,,,2023-01-19,False,13,Albany Park
8399,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,PARKING LOT,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,,"REPORTED, NOT EVIDENT",14,1,41.8744295194,-87.6545492731,2023,30,POINT (-87.6545492731 41.8744295194),,,,,2023-01-21,False,27,Near West Side
8400,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,NONINCAPACITATING INJURY,14,1,41.9526213022,-87.65067083,2023,30,POINT (-87.65067083 41.9526213022),,,,,2023-01-21,False,5,Lake View
8401,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,Y,NONINCAPACITATING INJURY,7,1,41.9023119157,-87.6284973814,2023,30,POINT (-87.6284973814 41.9023119157),,,,,2023-01-24,False,7,Near North Side
8402,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,Y,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,,NO INDICATION OF INJURY,10,1,41.8900914387,-87.6341061944,2023,30,POINT (-87.6341061944 41.8900914387),,,,,2023-01-24,False,7,Near North Side
